category,file,line,severity,id
"hardcoded-urls","contracts/aci/agent-computer-interface-ssot.v1.schema.json",4,"warning","hv-0001"
"hardcoded-urls","contracts/aci/agent-computer-interface.v1.schema.json",4,"warning","hv-0002"
"hardcoded-urls","contracts/agentos/ai-first-fixtures.v1.schema.json",4,"warning","hv-0003"
"hardcoded-urls","contracts/capability/capability-registry.schema.json",3,"warning","hv-0004"
"hardcoded-urls","contracts/cli/command-registry.schema.json",3,"warning","hv-0005"
"hardcoded-urls","contracts/code-audit/rules.v1.schema.json",3,"warning","hv-0006"
"hardcoded-urls","contracts/communication/a2a-clarification-payload.schema.json",3,"warning","hv-0007"
"hardcoded-urls","contracts/communication/context-envelope.schema.json",3,"warning","hv-0008"
"hardcoded-urls","contracts/communication/interruption-decision.schema.json",3,"warning","hv-0009"
"hardcoded-urls","contracts/communication/orchestrator-persistence-outbox.schema.json",3,"warning","hv-0010"
"hardcoded-urls","contracts/communication/protocol-catalog.schema.json",3,"warning","hv-0011"
"hardcoded-urls","contracts/config/env-vars.v1.schema.json",4,"warning","hv-0012"
"hardcoded-urls","contracts/db/data-storage-guard-report.v1.schema.json",4,"warning","hv-0013"
"hardcoded-urls","contracts/db/data-storage-policy.v1.schema.json",4,"warning","hv-0014"
"hardcoded-urls","contracts/dei/rpc-methods.schema.json",3,"warning","hv-0015"
"hardcoded-urls","contracts/documentation/canonical-map.v1.schema.json",4,"warning","hv-0016"
"hardcoded-urls","contracts/eval/benchmark-matrix.schema.json",3,"warning","hv-0017"
"hardcoded-urls","contracts/eval/external-serving-handoff.schema.json",3,"warning","hv-0018"
"hardcoded-urls","contracts/eval/mens-scorecard-event.schema.json",3,"warning","hv-0019"
"hardcoded-urls","contracts/eval/mens-scorecard-summary.schema.json",3,"warning","hv-0020"
"hardcoded-urls","contracts/eval/mens-scorecard-summary.schema.json",55,"warning","hv-0021"
"hardcoded-urls","contracts/eval/mens-scorecard.baseline.json",13,"warning","hv-0022"
"hardcoded-urls","contracts/eval/mens-scorecard.schema.json",3,"warning","hv-0023"
"hardcoded-urls","contracts/eval/runtime-generation-kpi.schema.json",3,"warning","hv-0024"
"hardcoded-urls","contracts/eval/syntax-k-event.schema.json",3,"warning","hv-0025"
"hardcoded-urls","contracts/eval/vision-rubric-output.schema.json",3,"warning","hv-0026"
"hardcoded-urls","contracts/index.schema.json",3,"warning","hv-0027"
"hardcoded-urls","contracts/journeys/canonical-journey-definition.v1.schema.json",4,"warning","hv-0028"
"hardcoded-urls","contracts/journeys/canonical-journey-step.v1.schema.json",4,"warning","hv-0029"
"hardcoded-urls","contracts/journeys/journey-limitation.v1.schema.json",4,"warning","hv-0030"
"hardcoded-urls","contracts/manifest/vox-bundle.v1.schema.json",3,"warning","hv-0031"
"hardcoded-urls","contracts/mcp/http-read-role-governance.schema.json",3,"warning","hv-0032"
"hardcoded-urls","contracts/mcp/tool-registry.schema.json",3,"warning","hv-0033"
"hardcoded-urls","contracts/mens/review-dataset.schema.json",3,"warning","hv-0034"
"hardcoded-urls","contracts/mens/training-preflight.schema.json",3,"warning","hv-0035"
"hardcoded-urls","contracts/openclaw/discovery/well-known.minimal.json",3,"warning","hv-0036"
"hardcoded-urls","contracts/openclaw/discovery/well-known.response.json",4,"warning","hv-0037"
"hardcoded-urls","contracts/openclaw/discovery/well-known.response.json",8,"warning","hv-0038"
"hardcoded-urls","contracts/openclaw/discovery/well-known.response.json",9,"warning","hv-0039"
"hardcoded-urls","contracts/operations/catalog.v1.schema.json",4,"warning","hv-0040"
"hardcoded-urls","contracts/operations/completion-policy.v1.schema.json",4,"warning","hv-0041"
"hardcoded-urls","contracts/orchestration/agent-harness.schema.json",3,"warning","hv-0042"
"hardcoded-urls","contracts/orchestration/agent-vcs-facade.schema.json",3,"warning","hv-0043"
"hardcoded-urls","contracts/orchestration/context-lifecycle-telemetry.schema.json",3,"warning","hv-0044"
